GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.param,ParamFlowRuleNacosPublisher,10,0,0,0,3,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.param,ParamFlowRuleNacosProvider,10,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.config,ServerFlowConfig,112,0,0,0,27,0,14,0,14,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.config,ClusterClientConfig,64,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.config,ServerTransportConfig,49,0,0,0,13,0,7,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.request,ClusterServerModifyRequest,105,0,0,0,23,0,16,0,16,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.request,ClusterClientModifyRequest,43,0,0,0,16,0,11,0,11,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.request,ClusterAppAssignMap,105,0,0,0,23,0,16,0,16,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.filter,AuthFilter,79,0,12,0,23,0,10,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.authority,AuthorityRuleNacosProvider,10,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.authority,AuthorityRuleNacosPublisher,10,0,0,0,3,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.system,SystemRuleNacosPublisher,10,0,0,0,3,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.system,SystemRuleNacosProvider,10,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo,MetricVo,292,0,12,0,83,0,34,0,28,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo,ResourceVo,302,0,16,0,96,0,42,0,34,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo,MachineInfoVo,122,0,2,0,40,0,20,0,19,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.service,ClusterConfigService,455,0,64,0,75,0,57,0,25,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.service,ClusterAssignServiceImpl,690,0,36,0,141,0,49,0,31,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity,MetricEntity,90,222,0,0,5,64,3,31,3,31
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity,SentinelVersion,80,120,10,12,10,30,10,18,3,14
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity,MachineEntity,146,0,0,0,34,0,19,0,19,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity,MetricPositionEntity,112,0,0,0,26,0,18,0,18,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity,ApplicationEntity,94,0,0,0,21,0,15,0,15,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,AuthService.PrivilegeType,64,0,0,0,7,0,1,0,1,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,SimpleWebAuthServiceImpl,20,0,4,0,6,0,4,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,FakeAuthServiceImpl,7,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,FakeAuthServiceImpl.AuthUserImpl,13,0,0,0,6,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,SimpleWebAuthServiceImpl.SimpleWebAuthUserImpl,19,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.config,DashboardConfig,9,102,0,14,3,30,3,16,3,9
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.config,WebConfig,83,0,0,0,19,0,5,0,5,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.degrade,DegradeRuleNacosProvider,10,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.degrade,DegradeRuleNacosPublisher,10,0,0,0,3,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,AuthorityRuleEntity,46,0,0,0,13,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,SystemRuleEntity,134,0,0,0,46,0,23,0,23,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,ParamFlowRuleEntity,91,0,0,0,22,0,15,0,15,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,DegradeRuleEntity,152,0,0,0,51,0,25,0,25,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,FlowRuleEntity,267,0,6,0,84,0,40,0,37,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,AbstractRuleEntity,61,0,0,0,23,0,16,0,16,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.discovery,AppInfo,46,128,9,11,7,31,10,14,3,11
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.discovery,MachineInfo,90,204,12,10,14,49,16,19,7,17
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.discovery,AppManagement,41,0,0,0,10,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.discovery,SimpleMachineDiscovery,75,0,2,0,18,0,8,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos,NacosConfigUtil,91,0,4,0,23,0,6,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos,NacosConfig,9,0,0,0,3,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard,DashboardApplication,17,0,0,0,6,0,4,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.flow,FlowRuleNacosProvider,10,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos.flow,FlowRuleNacosPublisher,10,0,0,0,3,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,SystemController,430,0,54,0,109,0,35,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,DemoController.RunTask,77,0,8,0,28,0,6,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,MachineRegistryController,105,0,12,0,26,0,8,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,MetricController,375,0,56,0,82,0,33,0,5,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,DegradeController,393,0,52,0,103,0,32,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,FlowControllerV1,591,0,110,0,132,0,62,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,AuthorityRuleController,325,0,42,0,86,0,28,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,AuthController,74,0,12,0,15,0,10,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,AppController,95,0,10,0,24,0,11,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,ParamFlowRuleController,561,0,62,0,127,0,44,0,13,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,DemoController,83,0,4,0,22,0,7,0,5,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,ResourceController,92,0,16,0,23,0,12,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterUniversalStateVO,49,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterStateSimpleEntity,62,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterClientStateVO,23,0,0,0,5,0,4,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterUniversalStatePairVO,63,0,0,0,16,0,9,0,9,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,AppClusterServerStateWrapVO,89,0,0,0,20,0,14,0,14,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterServerStateVO,116,0,0,0,26,0,18,0,18,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterRequestLimitVO,51,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,AppClusterClientStateWrapVO,66,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.metric,InMemoryMetricsRepository,43,226,13,19,16,48,13,12,2,7
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient.new FutureCallback() {...},94,0,4,0,18,0,6,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient.new DefaultRedirectStrategy() {...},8,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,CommandNotFoundException,9,0,0,0,4,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,CommandFailedException,9,0,0,0,4,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient,1333,0,122,0,266,0,119,0,58,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterGroupEntity,84,0,0,0,18,0,12,0,12,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppAssignResultVO,49,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterStateSingleVO,53,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ConnectionGroupVO,51,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterClientInfoVO,64,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ConnectionDescriptorVO,40,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppSingleServerAssignRequest,36,0,0,0,8,0,6,0,6,0
